1.9186535764	0.0287861272
4.7124824684	0.0257803468
9.7615708275	0.0228323699
8.2468443198	0.0200578035
10.1318373072	0.0178034682
13.2959326788	0.0152023121
16.8302945302	0.0132947977
19.3548387097	0.0112138728
19.523141655	0.0111560694
23.3941093969	0.0103468208
30.9677419355	0.0076300578
35.5119214586	0.0072254335
39.8877980365	0.0060115607
49.649368864	0.0051560694
60.0841514727	0.004566474
70.6872370266	0.0046242775
79.9438990182	0.0043583815
90.0420757363	0.0030057803
100.3085553997	0.0026300578
120	0.0019653179

